Status,Monday_item_id,Name,Firm,Current_Website,Proposed_Website,Domain,Notes,Checked_URLs,Email,Source_URL
WEBSITE_OK,13100506407,Tim Rehder,Earlybird,https://earlybird.com,,earlybird.com,Live Earlybird Venture Capital site; Tim Rehder listed as General Partner (Berlin). No person mailto on member page.,https://earlybird.com/ | https://earlybird.com/members/tim-rehder | https://earlybird.com/members,,
WEBSITE_OK,13100496603,Ulrich Thiem,Porsche Ventures,https://porsche.ventures,,porsche.ventures,Official Porsche Ventures CVC homepage (200). Ulrich Thiem on team carousel; contact links are LinkedIn only.,https://porsche.ventures/ | https://porsche.ventures/team,,
WEBSITE_OK,13028360224,William Prescott,,https://redribbon.co,,redribbon.co,Apex redirects to www; Red Ribbon Asset Management impact-investing site. William Prescott (Chief Impact Investment Officer) on who-we-are. Regional enquiries.* mailto only — no person email.,https://redribbon.co/ | https://www.redribbon.co/ | https://www.redribbon.co/who-we-are,,
WEBSITE_OK,13100496520,Yair Reem,Extantia Capital,https://extantia.com,,extantia.com,301 to www.extantia.com; climate VC firm. Yair Reem Partner on About. Footer hello@extantia.com generic — not person-attributed.,https://extantia.com/ | https://www.extantia.com/ | https://www.extantia.com/about,,
WEBSITE_OK,12737016236,Acumen,Acumen,https://acumen.org,,acumen.org,Live global impact investor (acumen.org 200). Team profiles under /team/; no firm-seat person email target.,https://acumen.org/ | https://acumen.org/team/sachindra-rudra/,,
WEBSITE_OK,12736995257,Goodwell Investments,Goodwell Investments,https://goodwell.nl,,goodwell.nl,Live impact PE firm (200). Team on about-us-goodwell-investments; careers cites contact@goodwell.nl generic only.,https://goodwell.nl/ | https://goodwell.nl/about-us-goodwell-investments/ | https://goodwell.nl/careers/,,
WEBSITE_CORRECTED,12737022231,Manutara Ventures,Manutara Ventures,https://manutaravc.com,https://manutaraventures.com/,manutaravc.com,manutaravc.com HEAD 405; GET redirects to operating site manutaraventures.com. Domain retained for email (info@manutaravc.com) but public homepage is manutaraventures.com.,https://manutaravc.com/ | https://manutaraventures.com/ | https://manutaraventures.com/about/,,
WEBSITE_OK,12737044089,Norrsken VC,Norrsken VC,https://norrsken.vc,,norrsken.vc,301 to www; Norrsken VC impact fund site live. Pitch mailto investments@norrsken.vc — generic.,https://norrsken.vc/ | https://www.norrsken.vc/ | https://www.norrsken.vc/about,,
WEBSITE_CORRECTED,12736993459,574 Invest / SNCF·GEODIS,574 Invest / SNCF·GEODIS,https://574invest.sncf.fr,https://www.574invest.com/,574invest.sncf.fr,574invest.sncf.fr NXDOMAIN (curl exit 6). Official SNCF Group CVC site is 574invest.com (GEODIS referenced as SNCF logistics subsidiary on group materials).,https://574invest.sncf.fr/ (NXDOMAIN) | https://www.574invest.com/ | https://www.574invest.com/en/,,
WEBSITE_OK,12736959331,Michelin Ventures,Michelin Ventures,https://michelin.com,,michelin.com,Michelin Ventures has no separate public domain; corporate parent michelin.com is canonical (301 to www). Innovation/participative pages describe startup partnerships; no dedicated ventures microsite found.,https://michelin.com/ | https://www.michelin.com/ | https://www.michelin.com/en/expertise/innovation/participative,,
WEBSITE_CORRECTED,12727972972,Rhenus Group,Rhenus Group,https://rhenus.com,https://www.rhenus.group/,rhenus.com,rhenus.com 301 chain to www.rhenus.group (rebrand). Live logistics group corporate site; Monday domain is legacy alias.,https://rhenus.com/ | https://www.rhenus.com/ | https://www.rhenus.group/,,
WEBSITE_OK,13028385021,Jeff Stoike,,https://blueactionaccelerator.com,,blueactionaccelerator.com,301 to www; seed-stage ocean/climate VC accelerator (Squarespace). Jeff Stoike on /team; no person mailto on team page.,https://blueactionaccelerator.com/ | https://www.blueactionaccelerator.com/ | https://www.blueactionaccelerator.com/team,,
WEBSITE_OK,13028367829,Mikayla Hart,,https://congruencecapital.com,,congruencecapital.com,Live Congruence Capital impact public-equities firm (200). Homepage lists IR@congruencecapital.com only — generic IR inbox; no Mikayla Hart person mailto co-occurrence.,https://congruencecapital.com/ | https://www.congruencecapital.com/,,
